code,2011 super output area - lower layer,Hansen Score,LLTI,TOTAL POP,Over 65,Under 18's,BETWEEN 18-64,LLTI RATE,expected under 18s,expected between 18-64,expected over 65s,EXPECTED ADMISSIONS,diff between expected and actuals,TRUNC EXPECTED,Expected Rank,IMD Health,Truc Actual Admissions,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 4 qualifications and above,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Males,Females,Area (Hectares),Density (number of persons per hectare),One person household,One person household: Aged 65 and over,One person household: Other,Does not have central heating,Occupancy rating (bedrooms) of -1 or less
E01033016,E01033016 : Leeds 111E,392.48,17.00,1017.00,13.00,25.00,979.00,0.02,0.40,12.73,0.65,13.78,-3.22,13.00,481.00,0.33,243.00,776.00,44.00,119.00,25.00,53.00,996.00,23.00,676.00,30.00,2.00,20.00,0.00,0.00,0.00,1.00,4.00,7.00,197.00,335.00,345.00,75.00,20.00,11.00,2.00,0.00,0.00,590.00,427.00,76.11,13.40,441.00,5.00,436.00,46.00,24.00
E01033034,E01033034 : Leeds 075G,637.72,15.00,1025.00,11.00,22.00,992.00,0.01,0.35,12.90,0.55,13.80,-1.20,13.00,481.00,-0.05,342.00,842.00,43.00,81.00,31.00,28.00,1004.00,36.00,650.00,46.00,13.00,17.00,4.00,0.00,0.00,0.00,1.00,28.00,268.00,356.00,278.00,57.00,5.00,5.00,4.00,0.00,2.00,590.00,435.00,13.15,77.90,316.00,10.00,306.00,47.00,26.00
E01033018,E01033018 : Leeds 112D,469.71,8.00,1137.00,3.00,32.00,1102.00,0.01,0.51,14.33,0.15,14.99,6.99,14.00,479.00,0.07,310.00,874.00,35.00,177.00,9.00,42.00,1105.00,15.00,751.00,56.00,9.00,26.00,4.00,0.00,1.00,1.00,0.00,14.00,300.00,435.00,312.00,38.00,3.00,2.00,0.00,0.00,1.00,664.00,473.00,41.02,27.70,363.00,1.00,362.00,71.00,53.00
E01033015,E01033015 : Leeds 111D,1335.61,8.00,1167.00,7.00,35.00,1125.00,0.01,0.56,14.63,0.35,15.54,7.54,15.00,478.00,-0.07,343.00,906.00,48.00,150.00,16.00,47.00,1133.00,6.00,775.00,63.00,6.00,32.00,2.00,0.00,0.00,0.00,1.00,15.00,332.00,423.00,297.00,57.00,1.00,7.00,0.00,0.00,0.00,685.00,482.00,36.95,31.60,299.00,4.00,295.00,62.00,27.00
E01033008,E01033008 : Leeds 111A,62.22,21.00,1120.00,7.00,40.00,1073.00,0.02,0.64,13.95,0.35,14.94,-6.06,14.00,479.00,0.87,141.00,798.00,44.00,143.00,20.00,115.00,1082.00,28.00,698.00,44.00,9.00,28.00,3.00,2.00,2.00,3.00,2.00,34.00,325.00,371.00,274.00,63.00,6.00,4.00,2.00,1.00,0.00,631.00,489.00,38.61,29.00,364.00,4.00,360.00,91.00,24.00
E01032500,E01032500 : Leeds 067H,605.86,88.00,1144.00,112.00,203.00,829.00,0.08,3.25,10.78,5.60,19.63,-68.38,19.00,471.00,1.15,84.00,965.00,34.00,123.00,19.00,3.00,959.00,247.00,259.00,22.00,7.00,82.00,23.00,26.00,44.00,10.00,18.00,27.00,125.00,170.00,298.00,181.00,28.00,52.00,49.00,9.00,2.00,631.00,513.00,14.07,81.30,262.00,55.00,207.00,60.00,30.00
E01033013,E01033013 : Leeds 082E,966.54,104.00,1189.00,126.00,157.00,906.00,0.09,2.51,11.78,6.30,20.59,-83.41,20.00,462.00,1.18,75.00,904.00,36.00,113.00,111.00,25.00,1049.00,250.00,367.00,53.00,5.00,67.00,25.00,15.00,25.00,8.00,17.00,35.00,215.00,228.00,268.00,121.00,39.00,70.00,45.00,9.00,2.00,670.00,519.00,59.79,19.90,298.00,63.00,235.00,52.00,43.00
E01032487,E01032487 : Leeds 097F,603.24,154.00,1013.00,233.00,222.00,558.00,0.15,3.55,7.25,11.65,22.46,-131.54,22.00,440.00,1.02,110.00,979.00,15.00,11.00,5.00,3.00,816.00,308.00,129.00,7.00,4.00,58.00,34.00,23.00,66.00,16.00,25.00,27.00,43.00,53.00,178.00,191.00,66.00,117.00,85.00,17.00,14.00,488.00,525.00,18.20,55.70,145.00,97.00,48.00,11.00,16.00
E01033011,E01033011 : Leeds 111C,1127.19,17.00,1373.00,12.00,23.00,1338.00,0.01,0.37,17.39,0.60,18.36,1.36,18.00,477.00,1.16,76.00,1142.00,48.00,109.00,28.00,46.00,1353.00,26.00,731.00,104.00,46.00,12.00,3.00,1.00,1.00,3.00,3.00,143.00,377.00,411.00,327.00,71.00,9.00,10.00,1.00,0.00,1.00,847.00,526.00,30.37,45.20,415.00,12.00,403.00,72.00,32.00
E01011294,E01011294 : Leeds 071D,1585.94,233.00,1518.00,160.00,254.00,1104.00,0.15,4.06,14.35,8.00,26.42,-206.58,26.00,335.00,3.22,1.00,1219.00,49.00,206.00,39.00,5.00,1292.00,483.00,129.00,6.00,3.00,83.00,47.00,32.00,50.00,14.00,28.00,23.00,145.00,211.00,430.00,243.00,52.00,71.00,55.00,16.00,18.00,979.00,539.00,25.38,59.80,181.00,55.00,126.00,31.00,27.00
